,tokens,ner_tags
0,"['dnsmasq', '', '3753720', '', '', '', '', '', '', '1', '', '0', 'Mar10', '?', '', '', '', '', '', '', '', '00:00:02', '/usr/sbin/dnsmasq', '-k']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['2022-09-09', '12:37:10']","['O', 'O']"
2,"['Повар', 'судовой']","['O', 'O']"
3,"['профилирование:', 'SafeData']","['O', 'O']"
4,"['Кораблестроение,', 'океанотехника', 'и', 'системотехника', 'объектов', 'морской', 'инфраструктуры']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Художник', 'росписи', 'по', 'эмали']","['O', 'O', 'O', 'O']"
6,['https://www.youtube.com/watch?v=dQw4w9WgXcQ'],['O']
7,"['Apr', '01,', '2016']","['O', 'O', 'O']"
8,"['дининфра:', 'ДинИнфра']","['O', 'O']"
9,"['CN=Самооценка', '2020,OU=DL,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru;CN=ALFA,OU=DL,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru;CN=MSK-FS-P-DNSA-RW,OU=MSK,OU=FS,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru;CN=Отдел', 'транспортной', 'логистики', 'по', 'ДВФО,OU=DL,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru;CN=MSK-FS-SF-RW,OU=MSK,OU=FS,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru;CN=Региональный', 'центр', 'по', 'г.', 'Владивосток', ',OU=Региональный', 'центр', 'по', 'г.', 'Владивосток', ',OU=', 'Владивосток', ',OU=USR,DC=int,DC=sblogistica,DC=ru;CN=users1c-rds,OU=1C,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru;CN=WE-USERS,OU=WE,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru;CN=M365-MailAccess,OU=M365,OU=SGROUPS,DC=int,DC=sblogistica,DC=ru']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-CITY', 'O', 'O', 'O', 'O', 'U-CITY', 'O', 'U-CITY', 'O']"
10,['Образование'],['O']
